22:59:06 0, 48, 35.63, 0 1, 49, 34.15, 0 
22:59:19 0, 48, 35.39, 0 1, 49, 34.15, 0 
22:59:24 0, 48, 35.63, 0 1, 49, 34.39, 0 
22:59:29 0, 48, 35.87, 0 1, 50, 34.39, 0 
22:59:34 0, 47, 35.39, 0 1, 49, 34.15, 0 
22:59:40 0, 48, 35.63, 0 1, 49, 34.39, 0 
22:59:45 0, 48, 35.63, 0 1, 49, 34.39, 0 
22:59:50 0, 48, 35.63, 0 1, 50, 34.39, 0 
22:59:55 0, 47, 35.63, 0 1, 49, 34.15, 0 
23:00:00 0, 48, 35.39, 0 1, 49, 34.39, 0 
23:00:09 0, 48, 35.87, 0 1, 50, 34.39, 0 
23:00:14 0, 47, 35.63, 0 1, 49, 34.39, 0 
23:00:19 0, 48, 35.63, 0 1, 49, 34.15, 0 
23:00:25 0, 48, 35.63, 0 1, 49, 34.39, 0 
23:00:36 0, 48, 35.63, 0 1, 49, 34.15, 0 
23:00:49 0, 47, 35.63, 0 1, 49, 34.15, 0 
23:00:54 0, 48, 35.63, 0 1, 49, 34.39, 0 
23:00:59 0, 48, 35.63, 0 1, 49, 34.41, 0 
23:01:04 0, 47, 35.39, 0 1, 49, 34.17, 0 
23:01:10 0, 48, 35.63, 0 1, 49, 34.15, 0 
23:01:15 0, 48, 35.63, 0 1, 49, 34.39, 0 
23:01:20 0, 48, 35.87, 0 1, 49, 34.39, 0 
23:01:25 0, 47, 35.63, 0 1, 49, 34.17, 0 
23:01:30 0, 47, 35.63, 0 1, 49, 34.39, 0 
23:01:35 0, 48, 35.63, 0 1, 49, 34.39, 0 
23:01:40 0, 48, 35.63, 0 1, 50, 34.39, 0 
23:01:45 0, 47, 35.63, 0 1, 49, 34.15, 0 
23:01:50 0, 48, 35.63, 0 1, 49, 34.15, 0 
23:01:55 0, 48, 35.63, 3 1, 49, 34.39, 0 
23:02:00 0, 48, 35.87, 0 1, 50, 34.41, 0 
23:02:06 0, 47, 35.63, 0 1, 49, 34.15, 0 
23:02:11 0, 47, 35.87, 0 1, 49, 34.15, 0 
23:02:17 0, 48, 35.63, 0 1, 49, 34.39, 0 
23:02:22 0, 48, 35.87, 0 1, 49, 34.41, 0 
23:02:27 0, 48, 35.87, 2 1, 49, 34.39, 0 
23:02:32 0, 48, 35.63, 2 1, 49, 34.41, 0 
23:02:37 0, 48, 35.63, 0 1, 49, 34.17, 0 
23:02:42 0, 48, 35.63, 1 1, 50, 34.39, 0 
23:02:47 0, 48, 35.87, 3 1, 50, 34.39, 0 
23:02:52 0, 47, 35.87, 2 1, 49, 34.15, 0 
23:02:57 0, 48, 36.11, 0 1, 49, 34.15, 0 
23:03:02 0, 48, 35.61, 0 1, 49, 34.39, 0 
23:03:07 0, 48, 35.87, 0 1, 49, 34.39, 0 
23:03:12 0, 48, 35.87, 0 1, 49, 34.39, 2 
23:03:17 0, 48, 35.87, 0 1, 50, 39.17, 0 
23:03:22 0, 47, 35.63, 0 1, 49, 34.17, 0 
23:03:27 0, 47, 35.63, 0 1, 49, 34.17, 0 
23:03:32 0, 48, 35.63, 0 1, 49, 34.41, 0 
23:03:37 0, 48, 35.87, 0 1, 49, 34.15, 0 
23:03:42 0, 52, 172.08, 100 1, 54, 146.36, 100 
23:03:47 0, 52, 41.60, 0 1, 54, 136.52, 100 
23:03:54 0, 53, 176.72, 8 1, 54, 185.48, 100 
23:03:59 0, 54, 137.51, 100 1, 55, 170.84, 100 
23:04:04 0, 55, 144.55, 100 1, 52, 38.19, 0 
23:04:09 0, 55, 47.08, 100 1, 54, 170.84, 0 
23:04:14 0, 54, 42.54, 0 1, 56, 147.64, 100 
23:04:19 0, 54, 42.54, 0 1, 56, 140.47, 100 
23:04:25 0, 56, 138.06, 100 1, 54, 40.59, 0 
23:04:30 0, 57, 152.91, 100 1, 55, 41.04, 0 
23:04:35 0, 58, 140.83, 100 1, 55, 42.00, 0 
23:04:40 0, 58, 161.21, 100 1, 55, 41.52, 0 
23:04:45 0, 56, 152.43, 100 1, 55, 41.52, 0 
23:04:50 0, 58, 155.09, 100 1, 58, 140.84, 100 
23:04:56 0, 58, 145.49, 100 1, 57, 41.55, 64 
23:05:01 0, 59, 139.65, 100 1, 57, 40.58, 0 
23:05:06 0, 59, 146.82, 100 1, 59, 137.30, 100 
23:05:14 0, 58, 147.05, 100 1, 59, 155.50, 100 
23:05:20 0, 59, 180.77, 100 1, 60, 133.84, 100 
23:05:25 0, 57, 43.98, 0 1, 60, 164.98, 100 
23:05:30 0, 58, 41.36, 5 1, 58, 139.13, 72 
23:05:35 0, 58, 43.26, 0 1, 59, 137.15, 100 
23:05:41 0, 58, 44.70, 0 1, 59, 162.01, 100 
23:05:46 0, 58, 44.22, 0 1, 59, 177.05, 100 
23:05:51 0, 58, 44.70, 0 1, 59, 156.61, 100 
23:05:56 0, 58, 42.78, 0 1, 60, 140.63, 100 
23:06:01 0, 59, 44.22, 0 1, 60, 139.76, 100 
23:06:06 0, 59, 45.18, 0 1, 59, 134.30, 100 
23:06:11 0, 60, 140.17, 100 1, 60, 143.98, 100 
23:06:16 0, 60, 175.46, 100 1, 60, 137.64, 100 
23:06:21 0, 61, 142.49, 100 1, 59, 43.44, 0 
23:06:26 0, 61, 178.07, 100 1, 58, 42.72, 0 
23:06:31 0, 61, 135.21, 100 1, 58, 42.48, 0 
23:06:36 0, 61, 189.74, 100 1, 59, 43.20, 0 
23:06:41 0, 62, 185.04, 100 1, 59, 42.00, 21 
23:06:46 0, 62, 154.37, 100 1, 59, 43.44, 33 
23:06:51 0, 61, 46.14, 83 1, 59, 166.93, 0 
